Freq.	V(vo)
Step Information: Run=1  (Run: 1/30)
3.63078054770100e+001	(-4.05058947409535e-005dB,-3.89402877899755e-002°)
3.71535229097171e+001	(-4.03739044814212e-005dB,-3.98473243504741e-002°)
3.80189396320559e+001	(-4.02356936744271e-005dB,-4.07754885593271e-002°)
3.89045144994279e+001	(-4.00909692009741e-005dB,-4.17252725464575e-002°)
3.98107170553495e+001	(-3.99394240817565e-005dB,-4.26971799052364e-002°)
4.07380277804111e+001	(-3.97807368667414e-005dB,-4.36917259595205e-002°)
4.16869383470333e+001	(-3.96145709591759e-005dB,-4.47094380369113e-002°)
4.26579518801591e+001	(-3.94405738865564e-005dB,-4.57508557483792e-002°)
4.36515832240164e+001	(-3.92583766043856e-005dB,-4.68165312744057e-002°)
4.46683592150961e+001	(-3.90675926437087e-005dB,-4.79070296577879e-002°)
4.57088189614873e+001	(-3.88678172798641e-005dB,-4.90229291032697e-002°)
4.67735141287196e+001	(-3.86586268265996e-005dB,-5.01648212841508e-002°)
4.78630092322636e+001	(-3.84395775087745e-005dB,-5.13333116560414e-002°)
4.89778819368444e+001	(-3.82102047468336e-005dB,-5.25290197779275e-002°)
5.01187233627270e+001	(-3.79700219764723e-005dB,-5.37525796407155e-002°)
5.12861383991362e+001	(-3.77185197431390e-005dB,-5.50046400034343e-002°)
5.24807460249770e+001	(-3.74551645757046e-005dB,-5.62858647372699e-002°)
5.37031796370250e+001	(-3.71793978688133e-005dB,-5.75969331776173e-002°)
5.49540873857622e+001	(-3.68906346958018e-005dB,-5.89385404843353e-002°)
5.62341325190346e+001	(-3.65882625386875e-005dB,-6.03113980103958e-002°)
5.75439937337154e+001	(-3.62716400528741e-005dB,-6.17162336791256e-002°)
5.88843655355586e+001	(-3.59400955965609e-005dB,-6.31537923702368e-002°)
6.02559586074355e+001	(-3.55929259231265e-005dB,-6.46248363148548e-002°)
6.16595001861479e+001	(-3.52293946767905e-005dB,-6.61301454997505e-002°)
6.30957344480190e+001	(-3.48487307831641e-005dB,-6.76705180809955e-002°)
6.45654229034652e+001	(-3.44501267327634e-005dB,-6.92467708072554e-002°)
6.60693448007593e+001	(-3.40327370544963e-005dB,-7.08597394529494e-002°)
6.76082975391978e+001	(-3.35956764805677e-005dB,-7.25102792615059e-002°)
6.91830970918933e+001	(-3.31380178519811e-005dB,-7.41992653989473e-002°)
7.07945784384134e+001	(-3.26587904705287e-005dB,-7.59275934180493e-002°)
7.24435960074986e+001	(-3.21569778114334e-005dB,-7.76961797333169e-002°)
7.41310241300914e+001	(-3.16315154944349e-005dB,-7.95059621070341e-002°)
7.58577575029180e+001	(-3.10812889260430e-005dB,-8.13579001466401e-002°)
7.76247116628688e+001	(-3.05051309977255e-005dB,-8.32529758137040e-002°)
7.94328234724277e+001	(-2.99018196413811e-005dB,-8.51921939447612e-002°)
8.12830516164095e+001	(-2.92700751148038e-005dB,-8.71765827842934e-002°)
8.31763771102667e+001	(-2.86085574491603e-005dB,-8.92071945301339e-002°)
8.51138038202372e+001	(-2.79158634721692e-005dB,-9.12851058915892e-002°)
8.70963589956076e+001	(-2.71905238640726e-005dB,-9.34114186605724e-002°)
8.91250938133741e+001	(-2.64310001075399e-005dB,-9.55872602960550e-002°)
9.12010839355905e+001	(-2.56356812013182e-005dB,-9.78137845221459e-002°)
9.33254300796986e+001	(-2.48028800894138e-005dB,-1.00092171940116e-001°)
9.54992586021431e+001	(-2.39308303709045e-005dB,-1.02423630654699e-001°)
9.77237220955805e+001	(-2.30176823193008e-005dB,-1.04809396914992e-001°)
9.99999999999995e+001	(-2.20614989626726e-005dB,-1.07250735770310e-001°)
1.02329299228075e+002	(-2.10602522129690e-005dB,-1.09748941741334e-001°)
1.04712854805089e+002	(-2.00118182798195e-005dB,-1.12305339506918e-001°)
1.07151930523760e+002	(-1.89139732531083e-005dB,-1.14921284606907e-001°)
1.09647819614318e+002	(-1.77643885534522e-005dB,-1.17598164161367e-001°)
1.12201845430196e+002	(-1.65606257337031e-005dB,-1.20337397606579e-001°)
1.14815362149688e+002	(-1.53001314434428e-005dB,-1.23140437448217e-001°)
1.17489755493952e+002	(-1.39802320993793e-005dB,-1.26008770032094e-001°)
1.20226443461741e+002	(-1.25981279964564e-005dB,-1.28943916332896e-001°)
1.23026877081237e+002	(-1.11508875646043e-005dB,-1.31947432761323e-001°)
1.25892541179416e+002	(-9.63544099484746e-006dB,-1.35020911990072e-001°)
1.28824955169313e+002	(-8.04857387605351e-006dB,-1.38165983799096e-001°)
1.31825673855640e+002	(-6.38692029554935e-006dB,-1.41384315940595e-001°)
1.34896288259165e+002	(-4.64695571412390e-006dB,-1.44677615024209e-001°)
1.38038426460288e+002	(-2.82498944955571e-006dB,-1.48047627422870e-001°)
1.41253754462275e+002	(-9.17156926819632e-007dB,-1.51496140199814e-001°)
1.44543977074592e+002	(1.08058858371368e-006dB,-1.55024982057243e-001°)
1.47910838816820e+002	(3.17248451249902e-006dB,-1.58636024307145e-001°)
1.51356124843620e+002	(5.36296794970884e-006dB,-1.62331181864793e-001°)
1.54881661891247e+002	(7.65668520097676e-006dB,-1.66112414265452e-001°)
1.58489319246110e+002	(1.00585014211780e-005dB,-1.69981726704856e-001°)
