x-axis,1,2,MATH
second,Volt,Volt,Volt
+53.9000E-06,+3.1367187500E+00,+5.0468750000E+00,+1.9110856589E+00
+54.0000E-06,+3.1210937500E+00,+5.0429687500E+00,+1.9216325340E+00
+54.1000E-06,+3.1250000000E+00,+5.0468750000E+00,+1.9228044090E+00
+54.2000E-06,+3.1210937500E+00,+5.0468750000E+00,+1.9274919091E+00
+54.3000E-06,+3.1054687500E+00,+5.0429687500E+00,+1.9356950342E+00
+54.4000E-06,+3.1015625000E+00,+5.0429687500E+00,+1.9415544093E+00
+54.5000E-06,+3.1054687500E+00,+5.0468750000E+00,+1.9399919093E+00
+54.6000E-06,+3.1093750000E+00,+5.0507812500E+00,+1.9423356593E+00
+54.7000E-06,+3.0859375000E+00,+5.0390625000E+00,+1.9532731595E+00
+54.8000E-06,+3.0820312500E+00,+5.0390625000E+00,+1.9587419096E+00
+54.9000E-06,+3.0859375000E+00,+5.0468750000E+00,+1.9606950346E+00
+55.0000E-06,+3.0820312500E+00,+5.0468750000E+00,+1.9638200346E+00
+55.1000E-06,+3.0703125000E+00,+5.0429687500E+00,+1.9704606597E+00
+55.2000E-06,+3.0625000000E+00,+5.0390625000E+00,+1.9774919098E+00
+55.3000E-06,+3.0585937500E+00,+5.0390625000E+00,+1.9806169099E+00
+55.4000E-06,+3.0625000000E+00,+5.0429687500E+00,+1.9825700349E+00
+55.5000E-06,+3.0507812500E+00,+5.0390625000E+00,+1.9884294100E+00
+55.6000E-06,+3.0546875000E+00,+5.0429687500E+00,+1.9907731600E+00
+55.7000E-06,+3.0429687500E+00,+5.0429687500E+00,+1.9970231601E+00
+55.8000E-06,+3.0312500000E+00,+5.0351562500E+00,+2.0048356602E+00
+55.9000E-06,+3.0273437500E+00,+5.0351562500E+00,+2.0087419103E+00
+56.0000E-06,+3.0351562500E+00,+5.0429687500E+00,+2.0075700353E+00
+56.1000E-06,+3.0351562500E+00,+5.0429687500E+00,+2.0087419103E+00
+56.2000E-06,+3.0195312500E+00,+5.0351562500E+00,+2.0153825354E+00
+56.3000E-06,+3.0195312500E+00,+5.0390625000E+00,+2.0192887855E+00
+56.4000E-06,+3.0234375000E+00,+5.0390625000E+00,+2.0181169104E+00
+56.5000E-06,+3.0078125000E+00,+5.0351562500E+00,+2.0251481606E+00
+56.6000E-06,+2.9921875000E+00,+5.0234375000E+00,+2.0333512857E+00
+56.7000E-06,+3.0039062500E+00,+5.0390625000E+00,+2.0368669107E+00
+56.8000E-06,+3.0117187500E+00,+5.0429687500E+00,+2.0313981606E+00
+56.9000E-06,+2.9921875000E+00,+5.0312500000E+00,+2.0392106608E+00
+57.0000E-06,+2.9882812500E+00,+5.0351562500E+00,+2.0454606609E+00
+57.1000E-06,+2.9882812500E+00,+5.0351562500E+00,+2.0462419109E+00
+57.2000E-06,+2.9687500000E+00,+5.0234375000E+00,+2.0540544110E+00
+57.3000E-06,+2.9570312500E+00,+5.0195312500E+00,+2.0657731612E+00
+57.4000E-06,+2.9882812500E+00,+5.0429687500E+00,+2.0532731610E+00
