x-axis,1,2,MATH
second,Volt,Volt,Volt
+49.6000E-06,+3.4023437500E+00,+5.0703125000E+00,+1.6677262802E+00
+49.7000E-06,+3.3984375000E+00,+5.0703125000E+00,+1.6708512803E+00
+49.8000E-06,+3.3867187500E+00,+5.0625000000E+00,+1.6767106554E+00
+49.9000E-06,+3.3828125000E+00,+5.0664062500E+00,+1.6837419055E+00
+50.0000E-06,+3.3789062500E+00,+5.0664062500E+00,+1.6860856555E+00
+50.1000E-06,+3.3750000000E+00,+5.0664062500E+00,+1.6923356556E+00
+50.2000E-06,+3.3671875000E+00,+5.0625000000E+00,+1.6966325307E+00
+50.3000E-06,+3.3671875000E+00,+5.0664062500E+00,+1.7009294057E+00
+50.4000E-06,+3.3554687500E+00,+5.0625000000E+00,+1.7079606558E+00
+50.5000E-06,+3.3398437500E+00,+5.0585937500E+00,+1.7196794060E+00
+50.6000E-06,+3.3437500000E+00,+5.0625000000E+00,+1.7200700310E+00
+50.7000E-06,+3.3437500000E+00,+5.0664062500E+00,+1.7212419060E+00
+50.8000E-06,+3.3359375000E+00,+5.0625000000E+00,+1.7290544061E+00
+50.9000E-06,+3.3203125000E+00,+5.0625000000E+00,+1.7407731563E+00
+51.0000E-06,+3.3203125000E+00,+5.0625000000E+00,+1.7431169063E+00
+51.1000E-06,+3.3085937500E+00,+5.0585937500E+00,+1.7501481565E+00
+51.2000E-06,+3.3007812500E+00,+5.0585937500E+00,+1.7567887816E+00
+51.3000E-06,+3.3046875000E+00,+5.0664062500E+00,+1.7599137816E+00
+51.4000E-06,+3.3046875000E+00,+5.0664062500E+00,+1.7606950316E+00
+51.5000E-06,+3.2578125000E+00,+5.0429687500E+00,+1.7845231570E+00
+51.6000E-06,+3.2539062500E+00,+5.0507812500E+00,+1.7950700321E+00
+51.7000E-06,+3.3085937500E+00,+5.0820312500E+00,+1.7704606568E+00
+51.8000E-06,+3.2773437500E+00,+5.0625000000E+00,+1.7841325320E+00
+51.9000E-06,+3.2343750000E+00,+5.0468750000E+00,+1.8099137823E+00
+52.0000E-06,+3.2382812500E+00,+5.0507812500E+00,+1.8110856574E+00
+52.1000E-06,+3.2539062500E+00,+5.0625000000E+00,+1.8071794073E+00
